#,filename,session_id,direction,ast_z,ast_p,S_composite,S_duration,ground_truth
1,Script_2_1070.wav,Script_2_892-1301,slow,12.0099,0.0,0.0192,0.0,엔터 꽝!
2,Script_5_0589.wav,Script_5_542-800,slow,11.6394,0.0,0.0192,0.0,수술 날짜를 빨리 잡읍시다 다음 주 월요일이 좋겠어요 라고 종이에 적어준다.
3,Script_2_0375.wav,Script_2_163-473,slow,10.3055,0.0,0.0192,0.0,이런 뜻입니다. 겸손하면서도 든든하죠.
4,Script_4_0275.wav,Script_4_101-621,slow,8.7123,0.0,0.0192,0.0,이 그래프 안에 노드를 연결해서 도로를 만들 텐데 복잡한 알고리즘은 인공지능에게 물어봅시다.
5,Script_2_0824.wav,Script_2_548-891,slow,8.235,0.0,0.0192,0.0,좋은 예시:
6,Script_5_0132.wav,Script_5_44-200,slow,7.514,0.0,0.0192,0.0,도대체 누가 왜 수진이를 모델로 이런 그림을 그렸을까 소름이 돋고 등골이 오싹해진다.
7,Script_2_0993.wav,Script_2_892-1301,slow,6.7283,0.0,0.0192,0.0,`점 커서 룰즈`
8,Script_3_0806.wav,Script_3_405-878,slow,6.0482,0.0,0.0185,0.0,빌드 석세스풀 만세 드디어 됐다 성공이다 드디어 끝났다 크게 환호한다.
9,Script_1_0288.wav,Script_1_221-300,slow,5.5441,0.0,0.0192,0.0,등받이에 몸을 맡기고 가장 편안한 자세로 이야기를 즐겨주십시오.
10,Script_5_0744.wav,Script_5_542-800,slow,5.4464,0.0,0.0187,0.0,모든 카운트다운 절차 완료 타임머신 시스템 완전 종료 카운트 제로.
11,Script_4_0858.wav,Script_4_651-980,slow,5.4172,0.0,0.0192,0.0,저는 이제 진짜 짐 싸서 갈게요 모두 안녕히 계세요 뿅.
12,Script_2_0070.wav,Script_2_1-162,slow,5.332,0.0,0.0192,0.0,준비되셨나요?
13,Script_3_0383.wav,Script_3_1-404,slow,4.8006,0.0,0.0192,0.0,절체절명의 그 위급한 순간 누군가가 나타났다 누구세요 하고 묻고 싶다.
14,Script_2_0973.wav,Script_2_892-1301,slow,4.4944,0.0,0.0192,0.0,보안 절차죠.
15,Script_4_0387.wav,Script_4_101-621,slow,4.3736,0.0,0.0192,0.0,"아이템을 줍고, 장비하고, 버리고, 슬롯을 옮기고, 내구도를 깎고 할 일이 태산입니다."
16,Script_4_0891.wav,Script_4_651-980,slow,4.3621,0.0,0.019,0.0,하지만 그 모든 과정이 있었기에 지금 이 자리에서 여러분께 건방지게 조언도 하고 있는 것 아니겠습니까 하하.
17,Script_2_0093.wav,Script_2_1-162,slow,4.3553,0.0,0.0192,0.0,모두 집중해 주세요.
18,Script_3_0022.wav,Script_3_1-404,fast,-4.3445,0.0,0.0191,0.0,마치 게임 내에서 온 퍼셉션 업데이트 이벤트가 발생했을 때 미리 짜여진 스크립트 대사가 자동으로 실행되는 것처럼 느껴진다.
19,Script_5_0031.wav,Script_5_1-43,slow,4.3272,0.0,0.0192,0.0,노인은 아무 말 없이 벽에 걸려 있던 열쇠 하나를 툭 하고 던져주며 묘한 미소를 짓는다.
20,Script_2_0337.wav,Script_2_163-473,slow,4.1768,0.0,0.0192,0.0,"해석이 필요 없죠? 그냥 소리 내어 읽으면 그게 곧 뜻입니다. ""만약 유저가 활성 상태면, 환영한다고 출력해."""
21,Script_4_0162.wav,Script_4_101-621,fast,-4.1496,0.0,0.0192,0.0,이 과정에서 네비게이션 메쉬가 동적으로 업데이트되어야 하는데 이것도 인공지능이 최적화해서 처리해 줍니다.
22,Script_3_0160.wav,Script_3_1-404,slow,4.1469,0.0,0.0192,0.0,야 너 오늘 게임 접속함 나 안 자고 기다리고 있음 하고 문자가 와 있다.
23,Script_2_0827.wav,Script_2_548-891,slow,3.8251,0.0001,0.0192,0.0,"더 좋은 예시, 베스트 예시:"
24,Script_5_0765.wav,Script_5_542-800,slow,3.8132,0.0001,0.0192,0.0,심호흡을 한다 후 하 후 하 떨지 마라 할 수 있다.
25,Script_1_0084.wav,Script_1_1-122,slow,3.5062,0.0005,0.0192,0.0,창밖의 세상은 잠시 잊으셔도 좋습니다 이곳은 오직 당신만을 위한 세상이니까요.
26,Script_4_0621.wav,Script_4_101-621,slow,3.486,0.0005,0.0192,0.0,여러분의 첫 작품이 훗날 전설의 시작이 될지 누가 알겠습니까 저는 여러분의 잠재력을 믿습니다.
27,Script_5_0252.wav,Script_5_201-541,slow,3.4588,0.0005,0.0192,0.0,안녕히 나의 안목 나의 바다 나의 사랑아 이제 영원히 안녕.
28,Script_5_0361.wav,Script_5_201-541,fast,-3.4542,0.0006,0.0192,0.0,나 지금 퇴근하는 길인데 우리 맛있는 저녁 먹으러 갈까 하고 데이트 신청을 한다.
29,Script_2_0521.wav,Script_2_474-547,slow,3.4289,0.0006,0.0192,0.0,"""메모리를 빌려 썼으면 멜록 반드시 돌려줘야 프리 한다."""
30,Script_4_0654.wav,Script_4_651-980,fast,-3.3932,0.0007,0.0192,0.0,아 그리고 깃허브 리드미 파일도 좀 예쁘게 꾸미세요 프로젝트 얼굴이잖아요.
31,Script_2_0765.wav,Script_2_548-891,slow,3.3929,0.0007,0.0192,0.0,"이건 무조건, 반드시, 기필코, 죽어도 체크해야 합니다."
32,Script_3_0763.wav,Script_3_405-878,slow,3.3723,0.0007,0.0192,0.0,어 미안 근데 금방 해 오 분이면 돼 제발 딱 한 번만 부탁한다고 빈다.
33,Script_2_1246.wav,Script_2_892-1301,slow,3.3515,0.0008,0.0192,0.0,"자, 더 질문 없으신가요?"
34,Script_3_0521.wav,Script_3_405-878,slow,3.3352,0.0009,0.0192,0.0,어 안녕 오늘 낼 과제 다 했나 하고 묻는 장난을 친다.
35,Script_3_0118.wav,Script_3_1-404,slow,3.2985,0.001,0.0192,0.0,철컥 소리와 함께 문이 열리고 익숙한 집 안의 포근한 공기가 느껴져 마음이 놓인다.
36,Script_2_1350.wav,Script_2_1302-1416,slow,3.2977,0.001,0.0192,0.0,개발자 아... 맞다. 어제 내가 잠깐 끈다고 주석 달아놨었네. 너 귀신이다?
37,Script_2_0525.wav,Script_2_474-547,slow,3.2183,0.0013,0.019,0.0,"씨 언어는 ""네가 싼 똥은 네가 치워라""라는 아주 강력한 책임감 리스폰시빌리티를 요구합니다. 성인군자의 언어죠."
38,Script_4_0246.wav,Script_4_101-621,slow,3.1872,0.0014,0.0192,0.0,인공지능은 물감과 붓일 뿐 그림을 그리는 주체는 바로 여러분의 상상력과 감성입니다 명심하십시오.
39,Script_1_0061.wav,Script_1_1-122,slow,3.1794,0.0015,0.0192,0.0,제 목소리에만 귀를 기울이시면 됩니다 아주 편안한 여행이 될 테니까요.
40,Script_4_0762.wav,Script_4_651-980,slow,3.1541,0.0016,0.0192,0.0,이제 유저 인터페이스 디자인 즉 유아이 아트에 대해 이야기해 봅시다 버튼 창 아이콘 디자인 정말 골치 아프죠.
41,Script_2_1319.wav,Script_2_1302-1416,slow,3.1451,0.0017,0.0189,0.0,혹시 한글 주석이 깨져서 나오나요? 뾻쀏 같은 외계어로?
42,Script_2_0466.wav,Script_2_163-473,slow,3.0993,0.0019,0.0192,0.0,에이아이가 준 코드가 독버섯인지 산삼인지 구별할 수 있는 눈 안목이 있어야 하니까요.
43,Script_5_0118.wav,Script_5_44-200,slow,3.0668,0.0022,0.0192,0.0,허리를 굽혀 주워 보니 그것은 흙투성이가 된 작은 은색 펜던트였다 내 손이 떨려온다.
44,Script_3_0316.wav,Script_3_1-404,slow,3.0552,0.0022,0.0192,0.0,잡았다 요놈 감히 내 눈을 피해서 어디 숨으면 모를 줄 알았냐 하고 비웃는다.
45,Script_3_0605.wav,Script_3_405-878,slow,3.0373,0.0024,0.0192,0.0,알았어 당신 제일 좋아하는 치킨 시켜놓을게 빨리 와 보고 싶어 하고 답장이 왔다.
46,Script_5_0446.wav,Script_5_201-541,slow,2.9854,0.0028,0.3666,0.0049,이 도시의 모든 사람들이 행복한 기억의 궁전을 가질 수 있기를 기도한다.
47,Script_3_0203.wav,Script_3_1-404,slow,2.9718,0.003,0.4094,0.0094,우리 관계도 복잡하게 얽힌 스테이트 머신 같다는 생각이 문득 든다고 느낀다.
48,Script_3_0630.wav,Script_3_405-878,slow,2.9682,0.003,0.4176,0.0106,어제보다 지식적으로 조금 더 성장했으니까 더 나은 하루다.
49,Script_3_0387.wav,Script_3_1-404,slow,2.9412,0.0033,0.4626,0.0196,야 걱정 마 내가 널 위해 대신 디버깅 해줄게 친구야 하고 말한다.
50,Script_3_0140.wav,Script_3_1-404,slow,2.9396,0.0033,0.4647,0.0201,아무 생각 없이 하얀 천장을 멍하니 바라보며 달콤한 휴식을 취하는 이 시간이 좋다.
51,Script_3_0374.wav,Script_3_1-404,slow,2.9293,0.0034,0.477,0.0236,키 입력이 먹통이다 내 캐릭터가 공중에 그대로 굳어버려서 움직이지 않는다.
52,Script_4_0040.wav,Script_4_1-100,slow,2.9287,0.0034,0.4777,0.0238,다시 에디터가 켜지면 뷰포트 왼쪽 상단의 설정 메뉴에서 스크린 퍼센티지 옵션을 확인해 보십시오.
53,Script_5_0534.wav,Script_5_201-541,slow,2.9238,0.0035,0.483,0.0254,경적 소리 사람들의 말소리 음악 소리 이 모든 소음들이 이젠 그립다.
54,Script_4_0758.wav,Script_4_651-980,slow,2.8807,0.004,0.5205,0.0398,특히 감정 조절 기능이 있어서 같은 대사라도 기쁨 슬픔 분노 공포 버전으로 따로 뽑을 수 있습니다.
55,Script_5_0450.wav,Script_5_201-541,slow,2.8794,0.004,0.5214,0.0402,나는 언제나 나를 믿고 나의 능력을 믿고 나의 든든한 동료들을 믿는다.
56,Script_3_0274.wav,Script_3_1-404,fast,-2.8692,0.0041,0.522,0.0436,액세스 바이올레이션 접근 위반이라는 아주 무시무시하고 끔찍한 에러 메시지가 떴기 때문에 긴장한다.
57,Script_2_1032.wav,Script_2_892-1301,slow,2.8645,0.0042,0.5214,0.0452,마치 생물학 분류표를 보는 것 같습니다. 포유류냐 파충류냐 조류냐를 묻는 거죠.
58,Script_2_0860.wav,Script_2_548-891,slow,2.8593,0.0042,0.5314,0.0469,"안 사주면... 음, 조금 극단적이지만 이직을 고려해보시는 것도?"
59,Script_3_0129.wav,Script_3_1-404,slow,2.825,0.0047,0.5548,0.0583,반찬통들이 크기별로 아주 질서 정연하게 냉장고 안에 차곡차곡 쌓여 있는 모습이 보인다.
60,Script_3_0253.wav,Script_3_1-404,fast,-2.8222,0.0048,0.5468,0.0593,죽어있는 데이터 덩어리에 생명을 불어넣고 살아서 움직이게 만들 수도 있는 능력이 있다고 생각한다.
61,Script_4_0774.wav,Script_4_651-980,slow,2.8035,0.0051,0.5657,0.0655,하지만 아직 한 가지 중요한 게 남았습니다 바로 시네마틱 영상 즉 컷신입니다.
62,Script_4_0483.wav,Script_4_101-621,slow,2.7936,0.0052,0.5703,0.0688,먼저 가장 흔하고 치명적인 널 포인터 익셉션부터 잡아봅시다 일명 튕김 현상의 주범이죠.
63,Script_2_1316.wav,Script_2_1302-1416,slow,2.7867,0.0053,0.5734,0.0711,"이건 99% 확률로 충돌체, 즉 콜리전 설정 문제입니다."
64,Script_5_0524.wav,Script_5_201-541,slow,2.783,0.0054,0.5751,0.0723,나는 참았던 눈물을 터뜨린다 슬픔의 눈물이 아니라 환희의 눈물이다 해냈다.
65,Script_2_0453.wav,Script_2_163-473,slow,2.7812,0.0054,0.5759,0.0729,"그게 훨씬 빠르고, 정확하고, 내 상황에 딱 맞는 맞춤형 답을 주니까요."
66,Script_3_0799.wav,Script_3_405-878,slow,2.769,0.0056,0.5811,0.077,휴 정말 십년감수했다 식은땀이 다 났다 큰일 날 뻔했다고 느낀다.
67,Script_4_0866.wav,Script_4_651-980,slow,2.7529,0.0059,0.5876,0.0824,강의실의 조명이 하나둘 천천히 꺼지고 개발자의 모습이 어둠 속으로 사라진다
68,Script_4_0627.wav,Script_4_622-650,slow,2.741,0.0061,0.5923,0.0863,이제 더 이상 미련 두지 않고 진짜 갈게요 모두 행복하세요 안녕.
69,Script_3_0537.wav,Script_3_405-878,slow,2.6986,0.007,0.6074,0.1005,여러분 게임에서 길 찾기가 쉬워 보이죠 네비게이션 찍으면 다 나오니까.
70,Script_3_0298.wav,Script_3_1-404,slow,2.6959,0.007,0.6084,0.1014,됐어 넌 손대지 마 더 망가진다 내가 다시 짤게 넌 절대 건드리지 마 하고 말린다.
71,Script_5_0410.wav,Script_5_201-541,slow,2.6913,0.0071,0.6099,0.1029,모든 것이 완벽하지 않아도 정말 괜찮다 그 불완전함조차 나의 소중한 일부니까.
72,Script_3_0235.wav,Script_3_1-404,fast,-2.6783,0.0074,0.5969,0.1072,어 당연하지 퍼셉션 컴포넌트 아까 분명히 내가 달았지 하고 자신 있게 대답한다.
73,Script_5_0074.wav,Script_5_44-200,slow,2.6781,0.0074,0.6141,0.1073,꿈속에서 수진이는 바다 한가운데 서서 나를 향해 손을 뻗으며 살려달라고 애타게 외치고 있었다.
74,Script_4_0263.wav,Script_4_101-621,slow,2.6692,0.0076,0.6169,0.1103,오늘 강의는 여기서 마치고 그럼 다음 강의 때 더 알찬 내용으로 뵙겠습니다 안녕히 가세요.
75,Script_5_0350.wav,Script_5_201-541,fast,-2.6672,0.0076,0.6175,0.1109,고통의 기억들이 거름이 되어 아름다운 꽃을 피울 수 있도록 제가 도와드리겠습니다.
76,Script_3_0475.wav,Script_3_405-878,slow,2.6414,0.0083,0.6253,0.1195,오 오늘 럭키 정말 운수 좋은 날이다 자리가 있다며 좋아한다.
77,Script_2_0713.wav,Script_2_548-891,slow,2.6288,0.0086,0.6147,0.1237,기간 제한 없이 평생 무료입니다. 카드 등록도 필요 없습니다. 그냥 가입만 하면 됩니다.
78,Script_2_0236.wav,Script_2_163-473,slow,2.6204,0.0088,0.624,0.1265,10번 줄 `렛 엘=1` 엘이라는 변수(그릇)를 만들고 거기에 숫자 1을 담아라.
79,Script_1_0252.wav,Script_1_221-300,slow,2.6137,0.009,0.6331,0.1288,잠시 찻잔을 들어 목을 축이시고 다음 문장을 받아들일 준비를 하십시오.
80,Script_2_0594.wav,Script_2_548-891,slow,2.6062,0.0092,0.6351,0.1313,이게 진짜 물건입니다.
81,Script_3_0810.wav,Script_3_405-878,slow,2.6023,0.0093,0.6362,0.1326,전송 완료 제출 버튼 클릭 서브미티드 드디어 제출 완료했다 외친다.
82,Script_4_0841.wav,Script_4_651-980,fast,-2.5818,0.0098,0.6271,0.1394,자신을 믿으세요 그리고 여러분이 만든 게임을 믿으세요 세상 어딘가에는 여러분의 게임을 인생 게임으로 여길 유저가 분명히 있습니다.
83,Script_3_0305.wav,Script_3_1-404,slow,2.5728,0.0101,0.6438,0.1424,이 지독한 버그를 못 잡고 자면 꿈에 나와서 나를 계속 괴롭힐 것 같아 두렵다.
84,Script_1_0163.wav,Script_1_123-220,slow,2.5517,0.0107,0.649,0.1494,새로운 것을 찾지만 결국은 똑같은 찻잔 똑같은 자리일 뿐인 허무한 순환.
85,Script_2_0862.wav,Script_2_548-891,slow,2.5078,0.0121,0.6364,0.1641,"잠시 집중! 여기서부터는 진짜, 정말, 아주 중요합니다."
86,Script_3_0535.wav,Script_3_405-878,fast,-2.4474,0.0144,0.6496,0.1842,내비게이션 메시 이것을 줄여서 흔히들 내비 메시라고 쓴다고 학생들에게 친절하게 설명한다.
87,Script_2_0152.wav,Script_2_1-162,fast,-2.1319,0.033,0.6455,0.2894,이미 세상은 변했고 인구는 이동했는데? 이건 말이 안 되는 상황이죠. 행정이 마비될 지경이었습니다. 뒷북 행정의 끝판왕이죠.
